Order_ID,Customer,Product,Category,City,Quantity,Price,Rating
1001,Aarav,Laptop,Electronics,Kathmandu,2,80000,4.5
1002,Sita,Phone,Electronics,Pokhara,3,50000,4.2
1003,Rohan,Headphone,Accessories,Lalitpur,5,3000,4.0
1004,Maya,Laptop,Electronics,Kathmandu,1,85000,4.8
1005,Bibek,Tablet,Electronics,Bhaktapur,2,35000,3.9
1006,Anu,Phone,Electronics,Pokhara,4,48000,4.4
1007,Suman,Mouse,Accessories,Kathmandu,6,1200,4.1
1008,Priya,Keyboard,Accessories,Lalitpur,3,2500,4.3
1009,Nabin,Phone,Electronics,Bhaktapur,2,52000,4.6
1010,Kiran,Laptop,Electronics,Pokhara,1,90000,4.7
1011,Riya,Tablet,Electronics,Kathmandu,3,38000,4.0
1012,Aashish,Headphone,Accessories,Lalitpur,4,3500,3.8
1013,Puja,Mouse,Accessories,Bhaktapur,5,1000,4.2
1014,Roshan,Phone,Electronics,Kathmandu,2,51000,4.5
1015,Sneha,Keyboard,Accessories,Pokhara,6,2800,4.1
1016,Dipak,Laptop,Electronics,Lalitpur,1,82000,4.9
1017,Sabina,Tablet,Electronics,Kathmandu,3,36000,3.7
1018,Raj,Mouse,Accessories,Bhaktapur,7,1100,4.4
1019,Nisha,Phone,Electronics,Pokhara,2,49000,4.3
1020,Manish,Headphone,Accessories,Kathmandu,4,3200,3.9
